id,label,x,y,z
62,7Networks_LH_Cont_Par_2,-34.83177570093458,-62.37694704049844,48.02492211838006
63,7Networks_LH_Cont_Par_3,-45.3006993006993,-41.7016317016317,46.5081585081585
64,7Networks_LH_Cont_Temp_1,-60.89784172661871,-42.74820143884892,-13.364028776978415
65,7Networks_LH_Cont_OFC_1,-31.821892393320965,42.41187384044528,-13.42857142857143
66,7Networks_LH_Cont_PFCl_1,-41.766062602965405,49.47281713344316,-5.812191103789132
67,7Networks_LH_Cont_PFCl_2,-27.537826685006877,58.03301237964237,8.038514442916096
68,7Networks_LH_Cont_PFCl_3,-41.834920634920636,40.15873015873015,16.528571428571425
69,7Networks_LH_Cont_PFCl_4,-44.26779252110977,20.08443908323281,27.28347406513872
70,7Networks_LH_Cont_PFCl_5,-42.6,5.994029850746273,43.492537313432834
71,7Networks_LH_Cont_pCun_1,-9.913043478260875,-73.11067193675889,37.52569169960475
72,7Networks_LH_Cont_Cing_1,-5.136842105263156,-29.599999999999994,26.54736842105264
73,7Networks_LH_Cont_Cing_2,-4.08064516129032,5.0,28.854838709677423
74,7Networks_LH_Default_Temp_1,-46.637025060630556,8.155214227970902,-32.34438156831043
75,7Networks_LH_Default_Temp_2,-60.281290322580645,-18.86709677419354,-22.521290322580647
76,7Networks_LH_Default_Temp_3,-56.3588110403397,-5.757961783439484,-12.233545647558387
77,7Networks_LH_Default_Temp_4,-57.979669631512074,-30.38373570520966,-3.53240152477764
78,7Networks_LH_Default_Temp_5,-58.22828784119107,-41.91066997518611,7.406947890818856
79,7Networks_LH_Default_Par_1,-48.70932358318099,-57.44058500914076,17.934186471663622
80,7Networks_LH_Default_Par_2,-38.38461538461539,-79.41025641025641,31.67307692307692
81,7Networks_LH_Default_Par_3,-56.930946291560105,-53.8005115089514,28.17902813299233
82,7Networks_LH_Default_Par_4,-45.89542483660131,-65.64892623716153,38.20354808590103
83,7Networks_LH_Default_PFC_1,-34.89041095890411,20.86301369863014,-13.013698630136986
84,7Networks_LH_Default_PFC_2,-6.1849710982658905,35.938342967244694,-9.660886319845858
85,7Networks_LH_Default_PFC_3,-45.89041095890411,31.009132420091333,-7.420091324200911
86,7Networks_LH_Default_PFC_4,-13.417979610750692,62.66172381835031,-5.594068582020384
87,7Networks_LH_Default_PFC_5,-51.236623067776456,22.563614744351952,7.8382877526753845
88,7Networks_LH_Default_PFC_6,-6.927433628318582,44.63362831858407,7.578761061946906
89,7Networks_LH_Default_PFC_7,-8.98422712933754,58.69610935856991,19.69085173501577
90,7Networks_LH_Default_PFC_8,-6.262476894639562,30.19223659889093,24.717190388170053
91,7Networks_LH_Default_PFC_9,-11.382228490832162,46.377997179125515,45.11706629055007
92,7Networks_LH_Default_PFC_10,-4.409683426443209,32.856610800744875,43.45251396648045
93,7Networks_LH_Default_PFC_11,-39.65882352941176,18.714705882352945,49.52352941176471
94,7Networks_LH_Default_PFC_12,-23.658139534883716,24.6906976744186,49.02325581395348
95,7Networks_LH_Default_PFC_13,-9.830769230769235,17.316923076923075,63.316923076923075
96,7Networks_LH_Default_pCunPCC_1,-11.164179104477611,-55.93656716417911,13.376865671641795
97,7Networks_LH_Default_pCunPCC_2,-6.240400667779639,-54.544240400667775,27.188647746243745
98,7Networks_LH_Default_pCunPCC_3,-4.6534090909090935,-30.4375,36.4375
99,7Networks_LH_Default_pCunPCC_4,-6.900188323917135,-54.0225988700565,41.992467043314505
100,7Networks_LH_Default_PHC_1,-25.90130624092889,-31.489114658925985,-17.97387518142235
101,7Networks_RH_Vis_1,38.582914572864325,-34.7964824120603,-22.967336683417088
102,7Networks_RH_Vis_2,27.36498516320475,-35.267062314540055,-14.673590504451042
103,7Networks_RH_Vis_3,28.68944099378882,-68.472049689441,-12.482919254658384
104,7Networks_RH_Vis_4,12.381097560975604,-64.1798780487805,-4.564024390243901
105,7Networks_RH_Vis_5,48.568914956011724,-71.49560117302053,-5.997067448680355
